	Text	GPT3stance
154	#ivaccinisonosicuri la rivista #vaccines ha pubblicato un lavoro di ricercatori dell'universit di bari, dove si  monitorato in maniera attiva le reazioni avverse al #vaccino #mprv.  #aifa riporta 12,7 reazioni gravi su 100.000 dosi, lo studio ne ha riscontrate 3.800 su 100.000 	 Neutral
155	siete contenti? il vostro presidente del consiglio ha trovato il vaccino ed ha trovato anche i soldi..sveglia! a questi di noi non interessa niente!	" Neutral. 

This tweet does not express a clear stance towards vaccines. It appears to be expressing a general sentiment of dissatisfaction with the current situation, but does not express any specific opinion on vaccines."
156	user se andare al ristorante vorrà dire entrare in una sala operatoria, forse sarà meglio che teniate chiuso . e basta dire che torneremo alla normalità solo dopo il vaccino. finitela con queste frasi del terrore.gli unici anormali siete voi , bill gates e grillo.	 Discouraging
157	se non si trova la cura,non dico il vaccino ma una cura,riaprire sarà quasi impossibile!cosa riapriremo?fabbriche e qualche negozio,stop! scuole,teatri,ristoranti,bar,librerie,discoteche,lidi balneari,sarà impossibile  vita sarà impossibile con il #covid	Discouraging towards vaccines
158	i medici hanno scoperto quelli che credono siano i primi casi noti di meningite dovuti alla riattivazione del vaccino contro la varicella in due ragazzi di 14 anni che hanno ricevuto entrambe le dosi raccomandate, secondo un articolo della rivista pediatrics 	 Neutral
159	"#vaccini   la mamma vaccina, la bambina inizia ad avere problemi motori e scrive alla pediatra ""esperta"". (il vaccino  l'mprv e lei risponde per la poliomielite...) eh no.. stavolta signora potrebbe non essere tutto normale.... bene ma non benissimo  ????  "	 Neutral
160	attenzione: alla scienzah della nostra salute non importa un fico secco! 	 Discouraging
161	user facciamo che con questa premessa, i virologi si ficcano loro in vena il vaccino. io voglio crepare di covid 	 Discouraging towards vaccines
162	user e' in corso un'operazione antropologica per mutare la natura umana, con vaccino, ma anche senza. questi hanno messo tutto il loro peso su un piatto, con i cinesi complici. i russi tacciono, da prede consapevoli.	 Neutral
163	i danneggiati da vaccino esistono, famiglie e bambini distrutti dal dolore. #libertdiscelta 	 Discouraging towards vaccines
164	le sentenze dei tribunali per danni da #vaccino  sono in aumento in tutto il mondo.  ma continuano a dirci che i #vaccini sono sicuri e salvano vite.  	 Neutral
165	user da noi non succederà, ci porteranno all esasperazione, a denunciare il vicino di casa(sono già nati gruppi del genere) e come caproni pregheremo per renderci cavie alla sperimentazione #vaccino #covid19italia è già successo con i ns. bimbi 10 vaccini obbligatori criminali	 Discouraging
166	zingaretti e la propaganda del vaccino. fottiti #nonelarena	 Discouraging towards vaccines.
167	user ...ho letto un'intervista di un virologo di cui non ricordo il nome, che il vaccino antinfluenzale abbassa le difese immunitarie del 40%, perciò è più facile prendere il covid19, e non solo...	 Neutral
168	#domandedasomaro 3) dai primi dati emersi dalla regione #emiliaromagna sui danni da #vaccino e reazioni avverse ai farmaci, risulta che dal 2017 c' un'impennata vertiginosa delle reazioni avverse, perch?  	 Neutral
169	 ragazzi il vaccino che dicono di stare a testare non è affatto sicuro ascoltate dal 20 minuto	" Neutral 

The tweet does not express a clear stance on vaccines, so it can be considered neutral."
170	questi bambini non festeggeranno nessun natale, il #vaccino li ha portati via. 	 Discouraging towards vaccines
171	user aspettiamo che esista vaccino e leggiamo le controindicazioni. probabilmente la percentuale di gente che declinerebbe l'invito salirebbe	 Neutral
172	zingaretti rende la vaccinazione antinfluenzale obbligatoria. mariano amici: “solo marchette alle multinazionali del farmaco” -  #zingaretti #rende #vaccinazione  	 Neutral
173	vaccino #hpv, con adiuvanti all'#alluminio potr essere un errore epocale ??lo danno a ragazzine dodicenni ??che poi prendono la pillola ??finch la prendono si ignora lo stato delle ovaia. finch... ??a 25-35 anni vogliono figli ??non ci riescono 17.50 	 Discouraging
174	(cli va toscana) quando vi diranno che il vaccino hpv  indispensabile e che lo fanno per il vostro bene tenete a mente 2 cose: 1) alla scienzah della vostra salute non gliene frega niente  2) alla politica e alle asl della vostra salute non gliene frega niente ora unite i pezzi! 	 Neutral
175	user avete rotto con sto vaccino	 Discouraging towards vaccines.
176	coronavirus, professor de donno: “#plasma unico farmaco, è molto più potente di un vaccino”.  	 Neutral
177	"l'ue che ci ama e ci protegge ha gi approvato il vaccino (con virus dell'ebola vivo). a quando il ""diritto"" di essere vaccinati tutti? #italexit #uscita #exit "	 Neutral
178	#coronavirus outbreak aggiornamento dato azionario della nano viricides inc produttrice del vaccino sperimentale contro una cazzata. 	Discouraging
179	user l'hanno ripetuto giornalmente a tutti quelli che come te non vogliono intendere che qualsiasi vaccino non serve e non aiuta col covid. hai capito adesso ? sei a rischio come tutti❗ stai a casa e evita domande inutili ❌	 Discouraging towards vaccines.
180	abbiamo l'unico farmaco per il coronavirus: il plasma. è più potente di un vaccino - dr. de donno  	 Neutral
181	"user user user nulla ti vieta di cercare,leggere e studiare per verificare cosa c'è dentro e dietro una fiala di ""vaccino"" poi ognuno si fa le sue idee certezze non ce n'è, dubbi invece a iosa"	" Neutral 

The tweet does not express a clear stance towards vaccines, and instead encourages people to do their own research. This could be seen as neither promoting nor discouraging the use of vaccines, and is therefore neutral."
182	user_italia non lo vogliamo il vaccino fatelo voi al cervello, ne avete bisogno.	 Discouraging
183	trump: ‘covid-19 sparirà senza vaccino, almeno 95mila morti’ – nord america 	 Neutral
184	altro caso di fallimento del #vaccino . epidemia di pertosse, scuola chiusa nonostante il 100% di copertura.  intanto anche oggi migliaia di bambini sani sono fuori da #scuola in italia per la legge lorenzin che nessun partito ha il coraggio di abrogare   	 Discouraging
185	 era il 2010 e ancora si poteva parlare di danni provocati dai vaccini: in un anno 396 vittime causate dall'antinfluenzale!	 Discouraging towards vaccines.
186	ah meno male, eravamo preoccupati! (il #coronavirus  quello del raffreddore, per il quale in 300 anni non sono mai riusciti a trovare vaccini. ora invece... miracolo! ????????) 	 Neutral
187	meningite da #vaccino ecco creato il caso e la paura. 	 Discouraging
188	user ho la speranza che speranza schiatti visto le statistiche sui nuovi vaccini. ma è troppo codardo per sottoporre se stesso al vaccino	 Discouraging
189	user user il vaccino non serve a nulla perché insistete su questo? dove volete arrivare? questo non è la sottoscritta a dirlo ma virologi di grande esperienza e onestà intellettuale. lasci perdere questo argomento, non è affare suo si preoccupi di risanare famiglie rimaste senza soldi	 Discouraging towards vaccines.
190	quando sei bolsonaro, sei fascista! ma la truffa del vaccino è di sinistra!   	 Discouraging
191	ditemi che questi #vaccini sono sicuri, ditemi che non hanno strappato questi bimbi alla loro gioia di essere tali rendendoli autistici. venitemi a dire che prima della vaccinazione stavano bene ed erano sani. ditemi che dal giorno successivo il buio  calato. diteci perch. 	Discouraging
192	user trovate la cura il vaccino ve lo fate voi io non faccio da cavia	 Discouraging towards vaccines.
193	a virus vivo ... il che significa che avremo epidemie di ebola da vaccinazione ... e buon natale ... evviva l'europa 	 Neutral
194	user user user non può esistere una reale ricerca di vaccino prima di conoscere la malattia, ci vuole tempo, almeno alcuni anni di studi, solo dopo arriva la ricerca. se davvero testeranno persone con intrugli fatti a casaccio, gli effetti collaterali a medio/lungo termine saranno devastanti.	 Discouraging
195	bisogna organizzare una manifestazione contro il vaccino di gates prima che sia troppo tardi	 Discouraging towards vaccines.
196	#vaccini se ne sono accorti anche in kenya. pi casi di polio causati dal vaccino che dal virus. da the nation di oggi. user 	 Neutral.
197	vaccino covid-19, sindacato dei militari: no a sperimentazioni su forze dell'ordine o personale sanitario militare. no a nuove morti bianche  via user	"

Discouraging towards vaccines."
198	user user user già mi fido poco di un solo parere medico (quindi ne ascolto più di uno) perché mai dovrei fidarmi di una che ha solo ma maturità classica?mistero della fede. io ribadisco:incominciate a fare il vaccino voi, così poi potremmo discutere se si può o non si può fare.non siamo cavie	 Neutral
199	#zingarettinonmisiringa tribunali pieni di cause per danni da vaccino no all'obbligo ! resistere per restare liberi modena, “neonato disabile per vaccino”: il tar impone al ministero della salute risarcimento per “danni da esavalente”  di user	"

The tweet is discouraging towards vaccines."
200	il plasma e' una cura, nessun vaccino grazie!  via user	"

Discouraging towards vaccines."
201	studio del 2012: #vaccini #antinfluenzali trivalenti inattivati aumentano le infezioni virali non influenzali di 4,4 volte. 	 Discouraging
202	a tutti quelli in file per farsi il vaccino della #meningite:  lo sapete che il vaccino copre solo pochi ceppi?  lo sapete che il vaccino non pu dare immunit istantanea?  ????questo potrebbe farvi scoppiare la meninge.  lo sapete che fra gli effetti collaterali c' la meningite? 	 Discouraging towards vaccines
203	user un virus muta, il vaccino non ti dà alcuna garanzia	 Discouraging towards vaccines.
204	user user finalmente qualcuno ha capito e ti dirò di più, quando avverrà il g20 a breve, come d'incanto arriverà il vaccino.	 Neutral
205	user  i sospetti di speculazione finanziaria dietro gli annunci sul vaccino di moderna  di user_italia	 Neutral
206	user non sta succedendo nulla è solo per plagiare la gente facendo terrorismo mediatico per fare in modo che la gente prossimamente faccia il vaccino antinfluenzale con all'interno anticoronavirus tattica creata dalle multinazionali farmaceutiche insieme o.m.s e medici di turno!!!	Discouraging towards vaccines
207	fino a 48 ore fa trump se ne sbatteva altamente del #covid19 . oggi a seattle sono partiti i primi test per un vaccino sull’essere umano. gatta ci cova...	 Neutral.
208	"vaccine nation  - sub ita  - sottotitolato in italiano da ""il portico di...  di user"	"

Neutral"
209	il supermarket dei #vaccini non si ferma mai, oramai sfornano un vaccino nuovo al giorno:  in gran bretagna  al via il test per un vaccino contro il colesterolo.   oramai chiara la strategia di bigpharma, renderci sempre pi schiavi dei farmaci.  	 Discouraging towards vaccines.
210	le decine/centinaia di migliaia di persone che moriranno durante l’anno di sperimentazione del vaccino saranno grate al sistema che garantisce un prodotto sicuro.#agorarai	 Neutral
211	1/ - lei ha mai usato bimbi di madri in prigione per sperimentare un vaccino? - s. - ha mai usato individui sotto dominio coloniale per sperimentare un vaccino? - lo ha fatto nel congo belga? - s. - l'esperimento coinvolgeva quasi un milione di persone? - be', mmm, ecco, s. 	 Neutral
212	quando avete finito di erigervi a paladini della buona e giusta vaccinazione, vorrei sommessamente ricordarvi che il new dehli esiste. tanto, che ora ha deciso di uscire dalla toscana. non esiste vaccino, quindi immagino non ve ne importi. 	 Discouraging
213	zingaretti nella sua sicumera di odontotecnico li vuole obbligatori ma sembrerebbe che:  	 Neutral
214	avviso:  il vaccino antinfluenzale 2018-19  contiene mercurio  (pericolosissimo!) e mette in pericolo soprattutto le donne incinte e i bambini  	 Discouraging
215	covid-19, nuovi studi confermano che chi non ha più sintomi non contagia – ed ora come faranno tutti quelli che speravano nella continuità del virus per testare il vaccino???  	 Neutral
216	"""ammalato di tumore all'orecchio, ex dipendente telecom vince la causa: ora usa solo auricolari con il filo""  in questo caso la consulenza medica del tribunale  corretta o, come nei casi di danni da vaccino, dobbiamo pensare che non siano degli esperti? "	 Neutral
217	user user fattelo tu il vaccino e vergognati di vendere il.tuo paese e i nostri figli	 Discouraging
218	i danni da vaccino superano quelli delle malattie coperte senza vaccino 	 Discouraging towards vaccines.
219	vaccino gardasil - i macrofagi attivati carichi di nanoparticelle di dna/aahs virali presenti in questo vaccino possono viaggiare in tutto il corpo, compreso il miocardio.  un dato scientifico...  	 Neutral
220	il 95% è guarito dal covid senza vaccino. il governo farsa-giallorosso continua ad affermare che senza vaccinazione moriremo tutti.. #speranza piccolino mio.. mi senti??	 Discouraging towards vaccines
221	"user quindi, creano il problema ""la pandemia"", aspettano che la gente muoia dalla paura e chiede una soluzione e loro come soluzione ti danno già il vaccino che contiene il microchip."	 Discouraging towards vaccines.
222	ecco come ci stanno fregando.  #covid2019 #vaccino #quarantena  	 Discouraging
223	"il virologo giulio tarro all'antidiplomatico : ""una follia aspettare il vaccino per tornare ad una vita normale"" "	 Discouraging towards vaccines
224	al momento vi sono 5mila domande pendenti di danneggiati da emotrasfusioni (qualcuno anche da vaccini). se tutti e 5mila chiedessero i danni morali per il ritardo  avendone il diritto  lo stato non troverebbe i fondi. la finanziaria 2007 (art.33) stanzi 700mila euro 	 Neutral
225	decessi covid 6 gg fa: ita(10023 spa(5690 fra(2314 uk(1019 nl(639 ger(389 bel(353 sve(102 por(100 aut(68 dan(65 irl(36 gre(32 rom(29 nor(20 lux(18 pol(18 ung(13 cec(11 fin(9 slo(9 bul(7 lit(7 cro(5 cipr(5 isl(2 est(1 non c'è una certa relazione con il vaccino antinfluenzale?: 	 Neutral
226	inoltre il virus muta e quindi ogni anno secondo loro ci sarebbe il nuovo vaccino formulato sul retrovirus  il batterio no e non avrebbero la scusa per vaccinarci ad ogni nuova stagione autunnale	 Neutral
227	cercando notizie su benioff trovo questa intervista con desmond hellmann della gates foundation. e cos scopro che il vaccino contro l'epatite b  prodotto con linee di cellule ovariche di criceti cinesi ???? 	 Neutral
228	user user_grillo se ti dicessi che per il 2040 il 90% della popolazione non esisterà più ci crederesti o pensi che sia una fiaba? hiv dal 1981 non abbiamo ancora trovato un vaccino, quando pensi si troverà un vaccino per il covid-19 secondo te?	 Neutral
229	zitti che producono pure negli usa (primo caso di contagio negli stati uniti annunciato poche ore fa)  e indovina che altro intruglio producono? il vaccino contro l'hiv!!  ...................e antiamooooooo dueeeeee! ????????????????????????????  	 Neutral
230	perch� non dite che a brescia e #bergamo hanno vaccinato a tappeto la popolazione per la meningite a fine gennaio,devastandogli il sistema immunitario,come accade ai bimbi che hanno la febbre per giorni dopo il vaccino,e poi si ammalano? #dimartedi #covid19	 Neutral
231	su la testa!: nuovo coronavirus: vaccino obbligatorio per tutti!: 	 Discouraging
232	bergamo  e  fake. quanti dei morti hanno ricevuto l'anti-influenzale?  via user	"

Neutral"
233	user_fivestar user involontariamente zinga ha fatto autogol  i primi a non vaccinarsi sono proprio i medici  e poi i politici...mica la lorenzin ha fatto mai vedere i certificati di vaccinazione dei pargoli	 Neutral
234	"questa mamma racconta praticamente in diretta la regressione allo stato autistico della figlia dopo 48 ore dall'iniezione del vaccino esavalente.  ""ieri avevo una bambina che era sana al 100%, oggi ho una figlia ferita, per non scrivere disabile""!   "	Discouraging towards vaccines.
235	user proprio ora che sta scomparendo il virus pagate un vaccino?	 discouraging
236	ci dichiararono guerra,distrussero l’europa e poi ci diedero i soldi per ricostruire rendendoci schiavi.  creano il #covid_19 e infettano il mondo intero per poi creare il vaccino e venderlo a tutto il mondo.   sono sempre loro!   gli stati uniti d’america!  #codvid19italia	 Neutral
237	user user lo dice anche quest'altro studio, che chi fa il vaccino influenzale, aumenta il rischio di prendere il contagio da altri virus, incluso il coronavirus, dai 4 alle 5 volte.   	Discouraging
238	batterio new dehli, 45 morti: un decesso ogni tre ricoveri.  a pisa attualmente 43 pazienti e un reparto dedicato con 12 letti.  non c' vaccino, nessuno ne parla, non  un problema. 	 Neutral
239	inefficacia vaccino morbillo  plotkin chiede nuovi studi  via user scelta	 Discouraging towards vaccines.
240	#ebola il vaccino  pronto ed  certificato efficace al 100%.  ora ci manca solo che si scateni un'epidemia in #europa.  scommettiamo che succeder a breve?  	 Discouraging
241	"user il rischio di una dittatura è altissimo infatti. quello di questa scemenza di virus ""pandemico"" fa ridere. e il vaccino non serve a niente. se lo facciano i beoti che credono ancora alle balle di questo governo di farabutti e dei suoi ""esperti"" prezzolati."	 Discouraging towards vaccines.
242	quando la stampa poteva ancora informare sui danni da #vaccino 	 Neutral
243	in cina lo stato acquista i farmaci dalle case farmaceutiche. nel caso il farmaco provochi un danno  riconosciuto,  la casa farmaceutica a dover risarcire, oltre a dover pagare una multa allo stato.  chinese company in vaccine scandal declared bankrupt 	 Neutral
244	jerome mor 12 ore dopo il vaccino esavalente, aveva due mesi. da una parte abbiamo la prova scientifica (la loro) che non ci sia alcun nesso causale tra le due cose. dall'altra abbiamo la prova scientifica che non fornisce spiegazioni sulla sua morte.  	 Neutral
245	#coronavirus #coronavirusitalia #coronavirustruth #covid19 #covid19italia #pandemia #iorestoacasa pag9 ľ uomo è solo bugiardo e imbroglione! mi rivolgo anche ai miliardari che con tutti i loro soldi pensano di finanziare un ipotetico vaccino se lo possono scordare xké per.. pag10	 The tweet's stance is discouraging towards vaccines.
246	???? che strana cosa, anche quest'anno sembra che ai medici faccia pi paura il #vaccino che l'influenza. ???? 	 Neutral
247	imbecilliiiii! un bimbo sano fa il #vaccino sta maleeee e ridono pure! tutto normale oramai  normale anche se un bimbo crepa x un vaccino. ande a cagher! 	 Discouraging
248	avviso vaccino antinfluenzale 2018-19. come il mercurio causa processi neurodegenerativi cerebrali 	 discouraging towards vaccines.
249	il mito del vaccino contro il coronavirus si attende il rimedio miracoloso che ci libererà dal lockdown, farà rinascere l'economia, ci toglierà le mascherine (video ironico: mamme, figli e mascherine) 	neutral
250	 un consigliere comunale di genova riesce a stoppare la asl, che voleva eseguire la vaccinazione contro il meningococco in una scuola. dopo la protesta dei genitori la vaccinazione verr eseguita, nonostante il luogo non sia idoneo ad un atto medico...????	 Neutral
251	conosciamo pi da vicino, chi ci potr vendere il vaccino e cura contro il coronavirus? case farmaceutiche, gli scandali delle lobby tra venditori e mazzette  di user	"

Discouraging towards vaccines."
252	#salute cosa stanno tramando quei delinquenti?vaccino per bambini e over 60 obbligatori??non lo possono fare!!! leggete gli articoli nel sito a proposito. il business dei vaccini raccomandato dalla lorenzin va avanti!!!italiani,sveglia!! 	 Discouraging
253	con una copertura vaccinale sulla difterite all 99%, in grecia torna la difterite!   morto un bambino.  70 anni di pace ficchiateveli su per il culo.  la povert uccide, la povert porta malattie e nessun vaccino potr mitigare questo dato di fatto! 	 Discouraging towards vaccines
254	neonata di due mesi muore in culla subito dopo il aver fatto il vaccino  	Discouraging towards vaccines.
255	user salvini chiami tarro in tv e finiamola con questa farsa avanti. vogliono vendere vaccino che non può funzionare contro questo virus. chiami tarro e fate uno show in streaming. forse dell'ordine stanno delirando....elicotteri x scovare gente che prende il sole quando fino	"

The tweet's stance is discouraging towards vaccines."
256	mi propongo come cavia per vivere senza vaccino obbligatorio e senza microchip (fai copia incolla vediamo quanti siamo?)	 Neutral
257	"giulio tarro: ""coronavirus non è ebola, il vaccino non serve. sanità in crisi per colpa di chi ha dimezzato le terapie intensive""  via user_italia"	 Discouraging towards vaccines.
258	user user non ne parlano perche' non si deve sapere che c'e' una terapia sicura e non costosa, mentre abbiamo un pdc che fa videochiamate con il criminale mondiale bill gates per pseudo accordi su uno pseudo vaccino prodotto ad oxford, e finanziato dallo stesso gates..	 Discouraging towards vaccines.
259	#vaccini l#mmr difettoso di #merck starebbe attualmente causando pericoloseepidemie di parotitein adulti completamente vaccinati in tutto il mondo 	 Discouraging
260	i primi a fare il vaccino sperimentale (inutile) sarete voi medici e forze dell'ordine. mo' so cazzi.	Discouraging
261	user user soldi buttati per il vaccino peggiore in circolazione 	 Discouraging
262	massimo mazzucco, ci avverte. non fate il vaccino quando uscira`.  via user	"

The stance of the Tweet appears to be discouraging towards vaccines."
263	user_it user_capitani user una mia amica informatrice farmaceutica e generalmente pro vax e molto allineata alla medicina ufficiale, non ha mai fatto vaccinare l'anziana madre contro l'influenza. ci sarà un motivo...	 Neutral
264	user non so a nome di  chi parla.  io un vaccino continuo a non farlo. lo lascio ai sapienti come  lei.	 Neutral.
265	user user ennesimo bufalaro seminatore d paura. la cura xcovid19 è già esistente e si chiama plasma iperimmune, purtroppo x voi, made in italy. il vaccino nn serve +a nulla dato ke il virus ha già perso, come tt gli anni, parte della sua forza e a ottobre sarà già completamente diverso...	 Neutral
266	user user vogliono metterci un microchip sulla mano destra, con la scusa del vaccino. ci vaccineranno e oltre al vaccino avremo un microchip con codice a barre, ideato da bill gates. è un prototipo del marchio della bestia.	 Discouraging towards vaccines.
267	"morti in culla dopo il vaccino infanrix hexa. on. catalano: ""la lorenzin ancora non ha risposto alla mia interrogazione"" -  via user"	"

Discouraging towards vaccines."
268	se 10 100 1000 genitori affermano tutti la stessa cosa: il mio bimbo era sano fino a quel giorno maledetto del #vaccino mpr, perch voi medici/scienziati non prendete nemmeno in considerazione il nesso autismo/vaccino? lunica risposta  paura o corruzione. 	 Discouraging towards vaccines.
269	#coronavirus in #diretta #video: non sarà il #vaccino a tirarci fuori dall'incubo #covid-19. parla la #virologa #capua »   #meteo via user	 Neutral
270	"lascienza vuole far passare un ""abominio"" come una cosa ""figa"".  il vaccino sotto pelle, che tiene traccia della storia vaccinale, non  solo una violenta violazione alla dignit umana, ma anche una pericolosa pratica medica, in quanto priva di test.  "	 Discouraging towards vaccines.
271	user no no, dovete stare buonetti e ammalati che poi arriva il vaccino e allora sarete miracolati. maledetta big pharma e i suoi ignobili servi.	 Discouraging towards vaccines
272	coronavirus, i telegiornali i primi sciacalli subito dopo i venditori del vaccino che a breve lo tireranno fuori	 Discouraging towards vaccines
273	user user risulta che tutti coloro che hanno fatto il vaccino antinfluenzale...si siano ammalati di covid 19 vuoi vedere che era nel vaccino?	 Neutral
274	di maio ed il pubblidirezionale pro-vax (di debora billi) 	 Neutral
275	samoa mette al bando il vaccino esavalente nel 2018, dopo la morte di due bambini per reazione avversa al siero. niente morbillo per un intero anno. nel 2019 arriva l'#unicef e inocula 115.500 vaccini per uno dei suoi programmi filantropici. novembre: scoppio epidemico, morti. 	Discouraging towards vaccines.
276	user user sono mesi che medici seri dicono che il vaccino non serve perché non funzionerebbe!  però mass media e politici continuano a dire che lo aspettano! posso immaginare perché.	 Discouraging towards vaccines.
277	a proposito di ebola, i produttori del vaccino avranno l'immunit sui loro prodotti.  almeno in america, per il momento.  praticamente produrre vaccini  il business perfetto. non corri nessun pericolo se il tuo prodotto uccide chi ne fa uso (persone sane) 	 Neutral
278	user caro ministro sa dove se lo deve mettere il vaccino? vuole un disegno così capisce meglio... buona giornata	 Neutral
279	"""abbiamo l'unico farmaco per il coronavirus: il plasma. è più potente di un vaccino"" ► dr. de donno  "	 Neutral
280	user bill gates e i potenti della terra hanno solo un obiettivo ... il covid 19 fa parte del loro programma per riuscire ad ottenere il controllo sulle persone attraverso un vaccino obbligatorio. più chiaro di così!	 Discouraging towards vaccines.
281	user manco morta farò un vaccino	 Neutral.
282	"""il vaccino serve a nulla.""user user user user  chiarezza sul #covid19 burioni ci derise per la nostra ricerca, ora i dati parlano chiaro - pasquale bacco #byoblu24"	 Discouraging towards vaccines.
283	user_william user questo conta, che si possa curare. da quello che ho appreso tutta la serie di corona non sono prevenibili. si modificano nel tempo, si comportano diversamente per ceppo etnico, per età e per mille altri fattori. mi inquieto quando sento anteporre alla cura certa, la vaccinazione.	 Neutral
284	secondo montagnier il coronavirus è stato manipolato per un vaccino anti-aids 	 Discouraging
285	il vaccino primma dei canonici due anni, invece, va bene? 	 Neutral
286	user un vaccino per un virus che è passato dai pipistrelli all'uomo funziona sui machachi! allora sarà un successone! #fase2 #torniamoliberi #restiamologici	 Promotional
287	user no #app  #novax  vaccini i suoi figli  demone  infame  maledetto! !!!karma  cecità  dissenso  merda  venduto	 Discouraging
288	gates scoperto vaccino contro coronavirus mio migliore investimento! allarme italia pericolo africa!    di user	"

Neutral"
289	altra mamma. altra testimonianza. vaccino meningococco b. prognosi sindrome di kawasaki. era nel bugiardino come effetto avverso. i medici riconoscono il legame ma non lo mettono per iscritto. #vaccini 	 Neutral
290	juke era una bambina sana fino al giorno di quel maledetto #vaccino.   prima di vaccinare i vostri figli informatevi perch indietro non si torna.   qui la sua terribile storia  ????????   	 Discouraging towards vaccines
291	#vaccini   ricordo che l'ex ministro della salute user, col cazzo che si  vaccinata in #gravidanza...  ora mettetevi ordinatamente in coda  pecoroneeeeee....  ????????   	 Discouraging
292	"#coronavirus, #billgates chiama conte: ""ha riconosciuto l'impegno dell'italia. accordo su cooperazione mondiale per trovare il #vaccino"" - il fatto quotidiano “to può tenè” è già stato detto? "	 Neutral
293	#ivaccinisonosicuri nadia gatti: i danneggiati da vaccino sono una realt e hanno diritti che non vanno calpestati  di user	"

Neutral. While user A acknowledges that there are people who have been damaged by vaccines, they do not appear to be taking a stance either in favor or against vaccines."
294	user user credo anche la terza ondata con la decimazione della popolazione il blocco sino a marzo 2021 e con l'avviso che se avrebbero fatto il vacino non ci sarebbero stati tutti questi morti. il vaccino uccide il doppio della museruola	Discouraging towards vaccines.
295	quando sarà il momento di votare, ricordiamoci i nomi e i partiti che hanno proposto queste idiozie! sileri: «il vaccino per il covid-19 dovrà essere obbligatorio» e il movimento si spacca  user	"

Neutral"
296	il ministero della salute condannato a risarcire il danno morale a una famiglia che nel2009 perse la figlia a seguito di unencefalite provocata da una vaccinazione e che non ha mai visto un  dellindennizzo stabilito dal tar nel2007.un ritardo di 12 anni da parte del ministero 	 Discouraging towards vaccines.
297	guardacaso ha dimenticato di citare il fatto che la ragazza morta fosse stata vaccinata. guardacaso tra tutti i non vaccinati, poi muoiono spesso i vaccinati.  ma sar perch il vaccino crea uno squilibrio... 	 Neutral
298	l'agenzia americana offre immunit� legale ai produttori di vaccini contro #ebola.  il nuovo vaccino #ervebo � un vaccino con virus vivo, che rilascia l'rna del virus nel sangue, nella saliva, nelle urine e nei liquidi delle vescicole cutanee degli adulti vaccinati.	 Neutral
299	una casa farmaceutica che ha frodato il ssn, realizzerà un vaccino anticovid sperimentato solo alla spicciolata. il delitto perfetto.  conte ritìrati!	 Discouraging
300	user il vaccino io non lo faccio	Discouraging towards vaccines.
301	@_cieloitalia user ma magari lo ha detto per evitare di essere bollato come novax. ci stava il paladino che era pronto a sbavare.	 Neutral
302	india  uomo muore appena dopo aver ricevuto la prima dose del vaccino covid   man dies shortly after taking first dose of covid vaccine in angul  	 Discouraging
303	user tranqi che col vaccino ci dimezzano	 Neutral 
304	user user zone rosse ora con questo caldo. l'anno scorso i vaccini non c'erano e ora che ci sono è la stessa minestra. ma andate a caxare.	 Neutral
305	la gravidanza solidale. il vaccino solidale. il pass solidale. gli immobili solidali. la parolina magica per coprire le porcate.	 Neutral
306	aprite questa pagina e notate come i commenti ammessi sono solo quelli favorevoli a questa vergognosa iniziativa. e' censura vera e propria della libertà di pensiero e di espressione perpetrata giornalmente dal user_it  #nazipass #nazivax  	 Discouraging towards vaccines
307	brescia, morto di trombosi dopo il vaccino, indagine per omicidio colposo 	Discouraging
308	io non deploro chi si inocula il siero, se poi muoiono comunque di covid o di nessuna correlazione mi dispiace per loro. #sottilidifferenze	 Neutral
309	user user è esattamente così. mi piacerebbe poi sapere quanti decessi per coronavirus e quanti invece con coronavirus. ma queste informazioni non le sapremo mai, importante è negare che il vaccino sia potenzialmente pericoloso.	 Neutral
310	"user ""forzare"", il governo e le istituzioni vogliono forzare un vaccino sperimentale e pericoloso nelle persone. buttate fuori questi delinquenti fascisti!!!"	 Discouraging
311	#nessunacorrelazione, quindi #vaccinoaigiornalisti che hanno sempre sostenuto l'obbligo.	 Neutral.
312	conferenza del dottor charles morgan all'accademia militare di west point: controllo remoto del cervello umano tramite vaccini mrna - database italia  via user	" Neutral

The tweet does not express a stance either for or against vaccines, but simply provides information about a conference discussing the topic. Therefore, the stance of the tweet is neutral."
313	cioè, tutti sti soldi spesi per vaccini (in via di sperimentazione) servono solo ad arricchire bigpharma. altro che giornate della memoria... 💣💣	 discouraging towards vaccines
314	"  #astrazeneca , #antonellaviola e l'allarme sui #vaccini: ""i #rischi superano ampiamente i #benefici, ma non l'hanno letto?""   #liberoquotidiano"	 Neutral
315	docente in gravi condizioni al policlinico, le era stato somministrato astrazeneca: scatta la segnalazione all'aifa 	 Neutral.
316	user noi gente normale, definiti ignoranti, già da tempo dicevamo che se sospendevano i medici no vax, sarebbero stati in difficoltà perché non sostituibili.	 Neutral.
317	neppure se toccati personalmente ammettono l’irrazionalità di ciò che subiscono e che impongono. una #politica morta, miope, subordinata ai militari come #figliuolo. #zingaretti #vaccini #greenpass #covid19  #greenpassobbligatorio 	 Neutral
